department,service,demand,patients_arrivals,patients_served,patients_remaining,daily_capacity,capacity_utilization_pct,maximum_queue,average_wait_minutes,maximum_wait_minutes,congestion_status,date
ANAESTHESIA,Anaesthesia Service,3.9317120498919502,4,4,0,108.0,3.640474120270324,1,0.0,0.0,Low,2026-08-25
Audiology,Audiology Assessment,1.7784115200158723,2,2,0,108.0,1.64667733334803,1,0.0,0.0,Low,2026-08-25
CARDIOLOGY,Cardiology Consultation,0.035610276597389,1,1,0,108.0,0.0329724783309157,1,0.0,0.0,Low,2026-08-25
CASUALTY,Emergency Consultation,4.083202785885574,5,5,0,432.0,0.9451858300661052,1,0.0,0.0,Low,2026-08-25
CHRONIC CARE CLINIC (DM/HTN/TB/CCC),Chronic Care Consultation,41.81283750089893,42,39,3,162.0,25.81039351907341,3,0.0,0.0,Moderate,2026-08-25
DAYCASE,Day Surgery,7.221031925264181,8,7,1,54.0,13.372281343081816,1,0.0,0.0,Moderate,2026-08-25
DENTAL,Dental Consultation,20.336320988388074,21,20,1,108.0,18.829926841100068,1,0.0,0.0,Moderate,2026-08-25
DIABETIC CLINIC,Diabetic Clinic Consultation,0.0288211277972196,1,1,0,162.0,0.0177908196279133,1,0.0,0.0,Low,2026-08-25
EYE CLINIC,Ophthalmology Consultation,9.2712985922739,10,9,1,108.0,8.584535733586945,1,0.0,0.0,Moderate,2026-08-25
FAMILY CLINIC,Family Clinic Consultation,0.3366345453312558,1,1,0,162.0,0.2077991020563307,1,0.0,0.0,Low,2026-08-25
FAMILY MEDICINE,Family Medicine Consultation,0.1628482794656073,1,1,0,162.0,0.1005236292997576,1,0.0,0.0,Low,2026-08-25
GENERAL OPD,General Consultation,147.06139585777308,148,148,0,324.0,45.38931970918922,1,0.1013513513513513,6.0,Low,2026-08-25
Gen Surg OPD,Surgical Consultation,6.312736085244572,7,6,1,162.0,3.8967506699040566,1,0.0,0.0,Moderate,2026-08-25
Gynae OPD,Gynaecology Consultation,0.0777168843709778,1,1,0,108.0,0.0719600781212757,1,0.0,0.0,Low,2026-08-25
HTS,HIV Testing Service,0.0836296232281789,1,1,0,162.0,0.0516232242149252,1,0.0,0.0,Low,2026-08-25
MATERNITY NURSERY,Maternity/Nursery Care,0.0901546091368667,1,1,0,288.0,0.0313036837280787,1,0.0,0.0,Low,2026-08-25
MCH,Maternal and Child Health Consultation,43.28085477018079,44,41,3,162.0,26.716577018630115,3,0.0,0.0,Moderate,2026-08-25
MEB PHYSIOTHERAPY,Physiotherapy Treatment,5.55608152963341,6,5,1,108.0,5.14451993484575,1,0.0,0.0,Moderate,2026-08-25
MEB SPECIALITY CLINIC,Speciality Consultation,52.71749338401579,53,50,3,108.0,48.812493874088695,3,0.6,10.0,Moderate,2026-08-25
MENTAL HEALTH,Mental Health Consultation,0.0836296232281789,1,1,0,72.0,0.1161522544835818,1,0.0,0.0,Low,2026-08-25
MORGUE,Mortuary Service,0.0836296232281789,1,1,0,288.0,0.0290380636208954,1,0.0,0.0,Low,2026-08-25
NEURO SURGERY CONSULTATION,Neurosurgical Consultation,0.0120742854326221,1,1,0,108.0,0.0111798939190945,1,0.0,0.0,Low,2026-08-25
NEUROSURGERY,Neurosurgical Consultation,0.9194039618681574,1,1,0,108.0,0.8512999646927384,1,0.0,0.0,Low,2026-08-25
NUTRITION,Nutrition Consultation,2.788613222962967,3,3,0,108.0,2.582049280521266,1,0.0,0.0,Low,2026-08-25
OCCUPATIONAL THERAPY,Occupational Therapy,1.83017606769768,2,2,0,108.0,1.6946074700904443,1,0.0,0.0,Low,2026-08-25
OHNS,ENT Consultation,14.932611480428015,15,14,1,108.0,13.826492111507422,1,0.0,0.0,Moderate,2026-08-25
ONCOLOGY,Oncology Consultation,27.69845128413137,28,26,2,108.0,25.646714151973487,2,0.0,0.0,Moderate,2026-08-25
Ortho OPD,Orthopaedic Consultation,0.6637612736422192,1,1,0,162.0,0.409729181260629,1,0.0,0.0,Low,2026-08-25
PAEDS,Paediatric Consultation,0.0836296232281789,1,1,0,162.0,0.0516232242149252,1,0.0,0.0,Low,2026-08-25
PAEDS BKKH,Paediatric Surgical Service,17.336846164777675,18,17,1,108.0,16.052635337757106,1,0.0,0.0,Moderate,2026-08-25
PALLIATIVE,Palliative Care Consultation,0.2383585559150892,1,1,0,108.0,0.2207023665880455,1,0.0,0.0,Low,2026-08-25
PATHOLOGY,Pathology Service,0.0836296232281789,1,1,0,162.0,0.0516232242149252,1,0.0,0.0,Low,2026-08-25
PEDIATRIC NEUROLOGY,Paediatric Neurology Consultation,0.0836296232281789,1,1,0,108.0,0.0774348363223878,1,0.0,0.0,Low,2026-08-25
PHYSIOTHERAPY,Physiotherapy Treatment,6.584594227048629,7,6,1,108.0,6.096846506526508,1,0.0,0.0,Moderate,2026-08-25
PRIVATE CLINIC,Private Consultation,3.968493359208384,4,4,0,108.0,3.674530888155911,1,0.0,0.0,Low,2026-08-25
PSYCHOLOGY,Psychology Consultation,2.755262842040211,3,3,0,72.0,3.826753947278071,1,0.0,0.0,Low,2026-08-25
RENAL,Dialysis,17.659095545968984,18,8,10,13.5,130.80811515532582,10,10.25,47.0,Critical,2026-08-25
RESPIRATORY CENTER,Respiratory Consultation,0.0836296232281789,1,1,0,108.0,0.0774348363223878,1,0.0,0.0,Low,2026-08-25
SPECIALITY CLINIC,Speciality Consultation,31.030249876292537,32,29,3,108.0,28.73171284841901,3,0.0,0.0,Moderate,2026-08-25
TELEMEDICINE,Telemedicine Consultation,0.553841339540776,1,1,0,162.0,0.3418773700868987,1,0.0,0.0,Low,2026-08-25
ADMISSION,Admission Processing,40.20098476416996,41,41,0,576.0,6.979337632668396,1,0.0,0.0,Low,2026-08-26
ANAESTHESIA,Anaesthesia Service,1.038260698717788,2,2,0,108.0,0.9613524988127666,1,0.0,0.0,Low,2026-08-26
Audiology,Audiology Assessment,1.5795789382545014,2,2,0,108.0,1.46257309097639,1,0.0,0.0,Low,2026-08-26
CARDIOLOGY,Cardiology Consultation,0.0155787029679023,1,1,0,108.0,0.0144247249702799,1,0.0,0.0,Low,2026-08-26
CASUALTY,Emergency Consultation,3.679060343743858,4,4,0,432.0,0.8516343388295967,1,0.0,0.0,Low,2026-08-26
CHRONIC CARE CLINIC (DM/HTN/TB/CCC),Chronic Care Consultation,38.37161689198207,39,36,3,162.0,23.6861832666556,3,0.0,0.0,Moderate,2026-08-26
DAYCASE,Day Surgery,7.538879546261874,8,7,1,54.0,13.9608880486331,1,0.0,0.0,Moderate,2026-08-26
DENTAL,Dental Consultation,19.83116940822686,20,19,1,108.0,18.36219389650635,1,0.0,0.0,Moderate,2026-08-26
DIABETIC CLINIC,Diabetic Clinic Consultation,0.0153559923273967,1,1,0,162.0,0.0094790076095041,1,0.0,0.0,Low,2026-08-26
EYE CLINIC,Ophthalmology Consultation,9.289462857757464,10,9,1,108.0,8.601354497923577,1,0.0,0.0,Moderate,2026-08-26
FAMILY CLINIC,Family Clinic Consultation,0.0174658601848255,1,1,0,162.0,0.0107813951758182,1,0.0,0.0,Low,2026-08-26
FAMILY MEDICINE,Family Medicine Consultation,0.1428167058361205,1,1,0,162.0,0.0881584603926669,1,0.0,0.0,Low,2026-08-26
GENERAL OPD,General Consultation,133.9564918964275,134,134,0,324.0,41.34459626432948,1,0.0522388059701492,3.0,Low,2026-08-26
Gen Surg OPD,Surgical Consultation,6.061609117500396,7,6,1,162.0,3.741734023148392,1,0.0,0.0,Moderate,2026-08-26
Gynae OPD,Gynaecology Consultation,0.0576853107414909,1,1,0,108.0,0.0534123247606397,1,0.0,0.0,Low,2026-08-26
HTS,HIV Testing Service,0.081253702011997,1,1,0,162.0,0.050156606180245,1,0.0,0.0,Low,2026-08-26
MATERNITY NURSERY,Maternity/Nursery Care,0.0877786879206849,1,1,0,288.0,0.0304787110835711,1,0.0,0.0,Low,2026-08-26
MCH,Maternal and Child Health Consultation,37.682706485846005,38,35,3,162.0,23.260929929534573,3,0.0,0.0,Moderate,2026-08-26
MEB PHYSIOTHERAPY,Physiotherapy Treatment,3.3698429350810075,4,4,0,108.0,3.120224939889822,1,0.0,0.0,Low,2026-08-26
MEB SPECIALITY CLINIC,Speciality Consultation,23.482895795391315,24,22,2,108.0,21.743422032769736,2,0.0,0.0,Moderate,2026-08-26
MENTAL HEALTH,Mental Health Consultation,0.081253702011997,1,1,0,72.0,0.1128523639055513,1,0.0,0.0,Low,2026-08-26
MORGUE,Mortuary Service,0.081253702011997,1,1,0,288.0,0.0282130909763878,1,0.0,0.0,Low,2026-08-26
NEURO SURGERY CONSULTATION,Neurosurgical Consultation,0.0096983642164402,1,1,0,108.0,0.0089799668670742,1,0.0,0.0,Low,2026-08-26
NEUROSURGERY,Neurosurgical Consultation,0.9165302642596188,1,1,0,108.0,0.8486391335737211,1,0.0,0.0,Low,2026-08-26
NUTRITION,Nutrition Consultation,1.0780887869446325,2,2,0,108.0,0.9982303582820672,1,0.0,0.0,Low,2026-08-26
OCCUPATIONAL THERAPY,Occupational Therapy,0.6286542965741553,1,1,0,108.0,0.5820873116427364,1,0.0,0.0,Low,2026-08-26
OHNS,ENT Consultation,13.889729923265008,14,13,1,108.0,12.860861040060191,1,0.0,0.0,Moderate,2026-08-26
ONCOLOGY,Oncology Consultation,34.657289697014484,35,32,3,108.0,32.09008305279119,3,0.0,0.0,Moderate,2026-08-26
Ortho OPD,Orthopaedic Consultation,0.6377715596813985,1,1,0,162.0,0.3936861479514806,1,0.0,0.0,Low,2026-08-26
PAEDS,Paediatric Consultation,0.081253702011997,1,1,0,162.0,0.050156606180245,1,0.0,0.0,Low,2026-08-26
PAEDS BKKH,Paediatric Surgical Service,41.72472193591269,42,39,3,108.0,38.63400179251176,3,0.2564102564102564,10.0,Moderate,2026-08-26
PALLIATIVE,Palliative Care Consultation,0.2421402721255779,1,1,0,108.0,0.2242039556718313,1,0.0,0.0,Low,2026-08-26
PATHOLOGY,Pathology Service,0.081253702011997,1,1,0,162.0,0.050156606180245,1,0.0,0.0,Low,2026-08-26
PEDIATRIC NEUROLOGY,Paediatric Neurology Consultation,0.1850238043547253,1,1,0,108.0,0.1713183373654863,1,0.0,0.0,Low,2026-08-26
PHYSIOTHERAPY,Physiotherapy Treatment,5.892043991545578,6,5,1,108.0,5.455596288468128,1,0.0,0.0,Moderate,2026-08-26
PRIVATE CLINIC,Private Consultation,4.304415429642239,5,5,0,108.0,3.985569842261332,1,0.0,0.0,Low,2026-08-26
PSYCHOLOGY,Psychology Consultation,1.9492630262695527,2,2,0,72.0,2.707309758707712,1,0.0,0.0,Low,2026-08-26
RENAL,Dialysis,9.100268938723907,10,4,6,13.5,67.40939954610302,6,0.0,0.0,Moderate,2026-08-26
RESPIRATORY CENTER,Respiratory Consultation,0.081253702011997,1,1,0,108.0,0.0752349092703675,1,0.0,0.0,Low,2026-08-26
SPECIALITY CLINIC,Speciality Consultation,3.4653676772581727,4,4,0,108.0,3.2086737752390486,1,0.0,0.0,Low,2026-08-26
TELEMEDICINE,Telemedicine Consultation,0.6589078262164861,1,1,0,162.0,0.4067332260595593,1,0.0,0.0,Low,2026-08-26
